gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
PTS,17,8,1,0,0,0,0,35
TAT,10,4,0,0,0,0,0,58
PEX1,95,29,4,0,0,0,0,153
SLC3A1,20,9,2,1,0,0,0,109
D2HGDH,7,3,2,0,0,0,0,78
ZMYND10,9,8,1,0,0,0,0,92
TNFRSF13B,23,1,6,0,0,0,0,43
HSD17B4,29,19,3,0,0,0,0,101
EMILIN1,2,0,0,0,0,0,0,146
ABCA4,189,17,3,1,0,0,3,160
ATP13A2,22,8,10,0,0,0,0,161
KIZ,28,8,3,0,0,0,0,155
NGLY1,35,2,2,1,0,0,0,115
DCLRE1C,15,8,6,0,0,0,0,61
ACE,25,7,5,1,0,0,0,252
CLN3,35,16,0,0,0,0,0,52
DNAJC21,16,7,5,0,0,0,0,118
DNAAF11,17,2,2,1,0,0,0,103
FKRP,32,4,1,0,0,0,0,46
EPM2A,14,0,2,0,0,0,0,52
OTOG,48,21,7,3,1,0,0,544
ROBO3,9,1,2,1,2,0,0,237
ASPM,144,19,13,1,0,0,7,521
QARS1,23,13,4,0,0,0,0,144
MYSM1,7,3,0,0,0,0,0,125
EARS2,7,2,0,0,0,0,0,77
ATP7B,135,24,7,0,0,0,0,155
DDHD1,7,1,2,0,0,0,0,129
NRROS,0,0,0,0,0,0,0,17
PPP1R13L,3,2,0,0,0,0,0,227
COA7,1,2,0,0,0,0,0,35
GAMT,31,6,2,1,0,0,0,32
FANCA,204,51,8,2,0,0,0,201
RMND1,13,10,2,0,0,0,0,96
ERCC8,36,14,6,0,0,0,0,59
GRXCR1,4,2,2,0,0,0,0,41
INPP5E,9,3,1,0,0,0,0,118
ENTPD1,3,0,0,0,0,0,0,73
AP5Z1,19,14,11,0,0,0,0,228
EIF2B2,8,5,0,0,0,0,0,63
FITM2,3,3,0,0,0,0,0,37
AP4S1,9,4,0,0,0,0,0,36
GBA2,15,4,0,0,0,0,0,157
FANCF,0,0,0,0,0,0,0,0
TTC8,13,13,2,0,0,0,0,73
CDT1,4,1,1,0,0,0,0,150
TMEM94,7,1,0,0,0,0,0,187
GTPBP2,4,1,0,0,0,0,0,65
